"112年03月20日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","5.42","110","49.86","1.24","111/4",
"1102","亞泥","5.39","111","12.60","0.94","111/4",
"1103","嘉泥","3.46","110","-","0.57","111/4",
"1104","環泥","3.94","110","8.13","0.79","111/4",
"1108","幸福","4.27","110","14.34","1.23","111/3",
"1109","信大","4.71","111","14.53","0.75","111/4",
"1110","東泥","0.56","111","68.46","1.17","111/4",
"1201","味全","2.49","110","42.66","1.40","111/4",
"1203","味王","2.93","110","14.30","1.66","111/3",
"1210","大成","4.03","110","19.17","2.01","111/4",
"1213","大飲","0.00","110","-","1.10","111/3",
"1215","卜蜂","4.90","110","15.45","2.67","111/4",
"1216","統一","4.57","111","22.85","3.12","111/4",
"1217","愛之味","3.51","111","20.36","0.83","111/4",
"1218","泰山","3.50","110","23.99","2.00","111/3",
"1219","福壽","5.28","110","20.85","1.53","111/4",
"1220","台榮","5.85","110","47.50","1.37","111/3",
"1225","福懋油","2.79","110","33.96","3.61","111/4",
"1227","佳格","4.70","110","25.09","2.12","111/3",
"1229","聯華","3.66","111","20.76","2.16","111/4",
"1231","聯華食","2.93","110","22.80","3.86","111/4",
"1232","大統益","4.08","111","19.17","4.57","111/4",
"1233","天仁","2.39","110","60.91","2.14","111/3",
"1234","黑松","4.78","110","16.09","0.78","111/4",
"1235","興泰","5.52","110","50.96","2.33","111/3",
"1236","宏亞","4.22","111","6.05","0.88","111/4",
"1256","鮮活果汁-KY","3.78","110","33.63","3.20","111/3",
"1301","台塑","4.67","111","15.85","1.60","111/4",
"1303","南亞","3.98","111","18.62","1.59","111/4",
"1304","台聚","2.60","111","18.55","1.18","111/4",
"1305","華夏","1.11","111","-","1.67","111/4",
"1307","三芳","3.82","111","17.75","0.98","111/4",
"1308","亞聚","4.13","111","11.91","1.21","111/4",
"1309","台達化","2.30","111","20.87","1.20","111/4",
"1310","台苯","1.45","111","-","1.12","111/4",
"1312","國喬","10.23","110","28.75","0.54","111/3",
"1313","聯成","1.37","111","-","0.74","111/4",
"1314","中石化","4.00","110","166.67","0.48","111/4",
"1315","達新","6.35","110","9.61","0.65","111/3",
"1316","上曜","5.24","111","19.07","1.03","111/4",
"1319","東陽","5.62","111","12.21","1.11","111/4",
"1321","大洋","1.90","110","-","1.38","111/4",
"1323","永裕","3.32","111","16.01","1.23","111/4",
"1324","地球","1.79","111","278.75","0.89","111/3",
"1325","恆大","8.51","110","54.65","0.72","111/3",
"1326","台化","1.40","111","53.97","1.22","111/4",
"1337","再生-KY","0.00","110","-","0.38","111/4",
"1338","廣華-KY","5.51","110","13.66","0.58","111/3",
"1339","昭輝","6.65","111","6.94","0.89","111/3",
"1340","勝悅-KY","0.00","110","-","0.33","111/3",
"1341","富林-KY","8.77","111","11.63","2.71","111/3",
"1342","八貫","3.70","111","20.00","4.98","111/4",
"1402","遠東新","4.38","111","20.26","0.79","111/4",
"1409","新纖","5.62","111","10.17","0.81","111/4",
"1410","南染","3.34","110","40.95","2.26","111/3",
"1413","宏洲","0.00","110","12.84","1.04","111/4",
"1414","東和","3.03","110","37.87","1.26","111/4",
"1416","廣豐","4.59","110","21.37","0.56","111/3",
"1417","嘉裕","2.78","111","-","0.93","111/3",
"1418","東華","0.00","110","-","0.68","111/3",
"1419","新紡","2.42","110","5.96","1.05","111/4",
"1423","利華","0.96","111","39.25","0.95","111/4",
"1432","大魯閣","0.00","110","-","2.08","111/3",
"1434","福懋","5.44","111","13.64","0.83","111/4",
"1435","中福","0.00","110","47.38","4.26","111/3",
"1436","華友聯","7.27","110","8.78","1.69","111/4",
"1437","勤益控","2.87","111","13.93","0.80","111/4",
"1438","三地開發","3.03","111","8.05","1.49","111/4",
"1439","雋揚","0.88","110","12.91","0.90","111/3",
"1440","南紡","2.10","111","23.86","1.00","111/4",
