"112年04月21日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","1.31","111","51.76","1.29","111/4",
"1102","亞泥","5.25","111","12.92","0.97","111/4",
"1103","嘉泥","3.26","110","-","0.61","111/4",
"1104","環泥","5.60","111","8.59","0.84","111/4",
"1108","幸福","5.00","111","11.11","1.32","111/4",
"1109","信大","4.57","111","14.96","0.77","111/4",
"1110","東泥","0.55","111","70.19","1.20","111/4",
"1201","味全","1.20","111","42.45","1.40","111/4",
"1203","味王","2.89","111","14.49","1.64","111/4",
"1210","大成","3.89","110","19.85","2.08","111/4",
"1213","大飲","0.00","110","-","1.09","111/4",
"1215","卜蜂","4.30","110","17.61","3.05","111/4",
"1216","統一","4.32","111","24.17","3.30","111/4",
"1217","愛之味","3.65","111","19.55","0.80","111/4",
"1218","泰山","3.40","110","2.42","1.14","111/4",
"1219","福壽","5.31","110","20.70","1.52","111/4",
"1220","台榮","1.22","111","63.08","1.30","111/4",
"1225","福懋油","2.64","110","35.80","3.81","111/4",
"1227","佳格","3.22","111","29.89","2.08","111/4",
"1229","聯華","3.34","111","22.74","2.36","111/4",
"1231","聯華食","2.91","111","22.98","3.89","111/4",
"1232","大統益","4.03","111","19.43","4.63","111/4",
"1233","天仁","2.49","111","59.91","2.08","111/4",
"1234","黑松","5.01","111","16.24","0.79","111/4",
"1235","興泰","5.43","110","13.59","1.44","111/4",
"1236","宏亞","4.25","111","6.01","0.87","111/4",
"1256","鮮活果汁-KY","2.21","111","24.66","2.72","111/4",
"1301","台塑","4.54","111","16.29","1.65","111/4",
"1303","南亞","3.85","111","19.23","1.65","111/4",
"1304","台聚","2.76","111","17.52","1.11","111/4",
"1305","華夏","1.20","111","-","1.54","111/4",
"1307","三芳","3.84","111","17.67","0.98","111/4",
"1308","亞聚","4.40","111","11.19","1.14","111/4",
"1309","台達化","2.44","111","19.71","1.13","111/4",
"1310","台苯","1.29","111","-","1.26","111/4",
"1312","國喬","9.88","110","-","0.57","111/4",
"1313","聯成","1.37","111","-","0.73","111/4",
"1314","中石化","3.94","110","169.17","0.48","111/4",
"1315","達新","8.56","111","9.46","0.63","111/4",
"1316","上曜","5.24","111","19.07","1.03","111/4",
"1319","東陽","5.43","111","12.65","1.15","111/4",
"1321","大洋","2.05","110","-","1.28","111/4",
"1323","永裕","3.33","111","15.97","1.22","111/4",
"1324","地球","1.75","111","190.00","0.90","111/4",
"1325","恆大","2.12","111","123.95","0.72","111/4",
"1326","台化","1.37","111","55.00","1.24","111/4",
"1337","再生-KY","0.00","110","-","0.39","111/4",
"1338","廣華-KY","4.50","111","27.24","0.58","111/4",
"1339","昭輝","6.91","111","7.88","0.87","111/4",
"1340","勝悅-KY","0.00","110","-","0.36","111/4",
"1341","富林-KY","8.81","111","11.81","2.93","111/4",
"1342","八貫","3.73","111","19.86","4.95","111/4",
"1402","遠東新","4.30","111","20.66","0.80","111/4",
"1409","新纖","5.62","111","10.17","0.81","111/4",
"1410","南染","2.09","111","42.44","2.18","111/4",
